,models,Naive_Bayes,Support_Vector_Machine,Random_Forest
0,AMBIENCE,86.30983659885393,93.21971277039509,92.88087634908445
1,GENERAL,84.94541779685105,87.33085988651243,85.03507706618777
2,LOCATION,92.70742680138652,94.12050534499514,91.88946622579122
3,PRICES,89.98281518512734,91.7812468596944,93.17757709530369
4,QUALITY,82.62649821833496,86.25341438194457,82.83069775752703
5,SERVICE,93.73925949070458,95.16632794010258,95.92651623586873
6,STYLEOPTIONS,82.9064039408867,88.62207822263366,85.8074712643678
