,models,Naive_Bayes,Support_Vector_Machine,Random_Forest
0,AMBIENCE,89.59537572254335,93.32819618299904,93.32819618299904
1,GENERAL,87.03835100801868,85.50320160482421,85.50320160482421
2,LOCATION,93.83109341297494,93.04811390782105,93.04811390782105
3,PRICES,91.67430735499302,91.2349632869864,91.2349632869864
4,QUALITY,80.68453497721791,83.5495820668693,83.5495820668693
5,SERVICE,97.04877029463874,97.04877029463874,97.04877029463874
6,STYLEOPTIONS,85.0016534109421,92.26523471850618,92.26523471850618
